Age,Gender,Occupation,Platforms_Used,Daily_Usage,Daily_App_Opens,Typical_Usage_Time,Main_Usage_Reason,Average_Session_Duration,Difficulty_Stopping,Watch_More_Than_Planned,Unintentional_App_Opening,Attempt_To_Reduce,Impact_On_Study_Work,Sleep_Delay,Task_Procrastination,Regret_After_Use,Risk_Score,Risk_Level
18-22,أنثى,طالب,TikTok;YouTube Shorts;,30 - 60 دقيقة,5–10,طوال اليوم,التخلص من الملل,10–30 دقيقة,2,2,1,4,2,1,2,4,18,Moderate
23-30,ذكر,موظف,YouTube Shorts;TikTok;Instagram Reels;,أكثر من 4 ساعات,11–20,طوال اليوم,التخلص من الملل,أكثر من ساعة,3,3,3,2,3,3,3,2,22,High
31-40,أنثى,باحث عن عمل,TikTok;Instagram Reels;,1-2 ساعة,5–10,طوال اليوم,التخلص من الملل,10–30 دقيقة,1,3,2,4,1,1,1,4,17,Moderate
18-22,أنثى,طالب,TikTok;Instagram Reels;Snapchat Spotlight;,30 - 60 دقيقة,5–10,طوال اليوم,متابعة المحتوى,10–30 دقيقة,1,2,3,4,3,3,3,4,23,High
18-22,أنثى,طالب,TikTok;Instagram Reels;,أكثر من 4 ساعات,أكثر من 20,طوال اليوم,التخلص من الملل,30–60 دقيقة,2,3,4,1,2,2,1,2,17,Moderate
18-22,أنثى,طالب,TikTok;Instagram Reels;,أكثر من 4 ساعات,أكثر من 20,طوال اليوم,التخلص من الملل,30–60 دقيقة,1,4,4,2,2,3,2,1,19,Moderate
23-30,أنثى,طالب,Instagram Reels;Snapchat Spotlight;,30 - 60 دقيقة,5–10,قبل النوم,الهروب من التوتر,10–30 دقيقة,2,4,3,4,3,4,4,3,27,High
18-22,أنثى,طالب,TikTok;,1-2 ساعة,5–10,طوال اليوم,التخلص من الملل,أكثر من ساعة,2,3,3,3,3,3,0,3,20,Moderate
18-22,أنثى,طالب,TikTok;Instagram Reels;,1-2 ساعة,11–20,طوال اليوم,التخلص من الملل,10–30 دقيقة,2,2,1,2,0,0,0,1,8,Low
18-22,أنثى,طالب,أخرى;Instagram Reels;,2-4 ساعات,11–20,عند الاستيقاظ,التخلص من الملل,30–60 دقيقة,1,2,2,0,0,0,0,1,6,Low
18-22,أنثى,طالب,Instagram Reels;TikTok;,أكثر من 4 ساعات,أكثر من 20,طوال اليوم,التخلص من الملل,أقل من 10 دقائق,3,4,3,4,3,4,3,4,28,High
18-22,أنثى,طالب,Snapchat Spotlight;YouTube Shorts;Instagram Reels;TikTok;أخرى;,2-4 ساعات,11–20,طوال اليوم,متابعة المحتوى,30–60 دقيقة,2,3,1,1,2,2,2,1,14,Moderate
18-22,أنثى,طالب,TikTok;Instagram Reels;,30 - 60 دقيقة,أقل من 5 مرات,طوال اليوم,التخلص من الملل,10–30 دقيقة,2,2,4,2,1,4,3,2,20,Moderate
18-22,أنثى,طالب,TikTok;,أكثر من 4 ساعات,أكثر من 20,طوال اليوم,التخلص من الملل,أكثر من ساعة,3,3,4,2,4,4,4,4,28,High
18-22,ذكر,طالب,YouTube Shorts;,أقل من 30 دقيقة,أقل من 5 مرات,طوال اليوم,متابعة المحتوى,أقل من 10 دقائق,0,0,0,0,0,0,0,0,0,Low
18-22,أنثى,طالب,TikTok;Instagram Reels;,2-4 ساعات,5–10,طوال اليوم,التخلص من الملل,10–30 دقيقة,2,2,2,2,2,2,2,2,16,Moderate
18-22,أنثى,طالب,TikTok;,30 - 60 دقيقة,5–10,طوال اليوم,الترفيه,أقل من 10 دقائق,1,2,2,2,1,1,2,1,12,Moderate
أكثر من 40,ذكر,موظف,Snapchat Spotlight;TikTok;,2-4 ساعات,أقل من 5 مرات,عند الاستيقاظ,متابعة المحتوى,30–60 دقيقة,2,2,1,2,1,2,1,2,13,Moderate
18-22,أنثى,طالب,TikTok;Instagram Reels;,2-4 ساعات,11–20,عند الاستيقاظ,التخلص من الملل,30–60 دقيقة,2,2,2,2,2,1,2,2,15,Moderate
18-22,أنثى,باحث عن عمل,TikTok;,أكثر من 4 ساعات,5–10,طوال اليوم,الترفيه,10–30 دقيقة,2,2,2,2,1,1,2,0,12,Moderate
18-22,أنثى,باحث عن عمل,TikTok;Instagram Reels;YouTube Shorts;,1-2 ساعة,5–10,طوال اليوم,التخلص من الملل,أقل من 10 دقائق,1,2,2,2,1,0,3,1,12,Moderate
18-22,أنثى,طالب,TikTok;Instagram Reels;,2-4 ساعات,11–20,طوال اليوم,التخلص من الملل,30–60 دقيقة,3,2,1,2,4,4,2,1,19,Moderate
18-22,أنثى,طالب,TikTok;Instagram Reels;,1-2 ساعة,5–10,طوال اليوم,التخلص من الملل,10–30 دقيقة,1,2,1,1,1,1,1,1,9,Low
18-22,أنثى,باحث عن عمل,TikTok;,2-4 ساعات,11–20,طوال اليوم,الترفيه,30–60 دقيقة,3,2,2,2,3,4,3,3,22,High
23-30,أنثى,باحث عن عمل,TikTok;Instagram Reels;Snapchat Spotlight;,2-4 ساعات,5–10,قبل النوم,الترفيه,أقل من 10 دقائق,1,3,2,2,0,3,0,0,11,Moderate
18-22,أنثى,طالب,Instagram Reels;TikTok;,1-2 ساعة,5–10,طوال اليوم,التخلص من الملل,أكثر من ساعة,3,4,4,2,2,4,4,1,24,High
18-22,أنثى,طالب,TikTok;Instagram Reels;,1-2 ساعة,5–10,طوال اليوم,التخلص من الملل,10–30 دقيقة,0,2,1,3,3,1,2,3,15,Moderate
23-30,أنثى,باحث عن عمل,TikTok;YouTube Shorts;Snapchat Spotlight;Instagram Reels;,أكثر من 4 ساعات,5–10,طوال اليوم,التخلص من الملل,أقل من 10 دقائق,1,2,4,3,1,2,1,2,16,Moderate
23-30,أنثى,موظف,TikTok;Instagram Reels;Snapchat Spotlight;,1-2 ساعة,11–20,طوال اليوم,الترفيه,أقل من 10 دقائق,1,2,4,2,2,4,1,2,18,Moderate
أكثر من 40,أنثى,أخرى,TikTok;Snapchat Spotlight;,أكثر من 4 ساعات,أكثر من 20,طوال اليوم,متابعة المحتوى,10–30 دقيقة,0,2,2,0,2,0,0,0,6,Low
أقل من 18,أنثى,طالب,TikTok;YouTube Shorts;Snapchat Spotlight;,30 - 60 دقيقة,11–20,طوال اليوم,متابعة المحتوى,30–60 دقيقة,2,3,0,1,2,0,0,0,8,Low
18-22,أنثى,طالب,أخرى;,أقل من 30 دقيقة,أقل من 5 مرات,أثناء الدراسة أو العمل,التعلم,أقل من 10 دقائق,0,0,1,4,0,0,0,0,5,Low
23-30,أنثى,طالب,TikTok;Instagram Reels;,1-2 ساعة,11–20,طوال اليوم,التعلم,30–60 دقيقة,1,1,2,1,2,2,1,1,11,Moderate
18-22,أنثى,طالب,TikTok;Instagram Reels;أخرى;,1-2 ساعة,أقل من 5 مرات,طوال اليوم,الترفيه,10–30 دقيقة,1,3,3,4,2,4,2,2,21,Moderate
18-22,أنثى,طالب,TikTok;Instagram Reels;,1-2 ساعة,5–10,طوال اليوم,الترفيه,30–60 دقيقة,2,2,3,3,2,3,3,4,22,High
18-22,أنثى,أخرى,TikTok;Snapchat Spotlight;,أكثر من 4 ساعات,5–10,طوال اليوم,الترفيه,10–30 دقيقة,1,2,1,2,2,3,1,2,14,Moderate
18-22,أنثى,باحث عن عمل,Instagram Reels;TikTok;Snapchat Spotlight;,أكثر من 4 ساعات,أكثر من 20,طوال اليوم,الترفيه,أكثر من ساعة,2,2,2,4,2,3,2,4,21,Moderate
18-22,أنثى,باحث عن عمل,TikTok;YouTube Shorts;,أكثر من 4 ساعات,11–20,عند الاستيقاظ,التخلص من الملل,أكثر من ساعة,2,3,3,2,1,4,2,3,20,Moderate
18-22,أنثى,طالب,YouTube Shorts;أخرى;,1-2 ساعة,أقل من 5 مرات,أثناء الدراسة أو العمل,التعلم,10–30 دقيقة,0,2,0,4,0,0,0,0,6,Low
18-22,أنثى,طالب,TikTok;Instagram Reels;,1-2 ساعة,5–10,قبل النوم,التخلص من الملل,10–30 دقيقة,2,3,3,4,2,3,2,2,21,Moderate
18-22,أنثى,طالب,Instagram Reels;TikTok;,2-4 ساعات,11–20,طوال اليوم,الترفيه,30–60 دقيقة,2,4,4,4,3,2,3,2,24,High
أكثر من 40,أنثى,أخرى,Snapchat Spotlight;TikTok;,1-2 ساعة,أقل من 5 مرات,طوال اليوم,التعلم,أقل من 10 دقائق,0,2,0,1,0,3,0,1,7,Low
أكثر من 40,أنثى,موظف,Snapchat Spotlight;,30 - 60 دقيقة,5–10,عند الاستيقاظ,الترفيه,أقل من 10 دقائق,0,1,2,4,2,2,2,2,15,Moderate
23-30,أنثى,موظف,TikTok;Instagram Reels;Snapchat Spotlight;,أكثر من 4 ساعات,أكثر من 20,قبل النوم,التخلص من الملل,أكثر من ساعة,3,3,3,1,1,3,2,1,17,Moderate
